,Coin,Timestamp,Datetime,Last/Open,High/Low,Vol-USDT-24h,Open-24h,High-24h,Low-24h,Close-Last,Vol-Ccy-24h,Vol-Num-24h
503,DOME-USDC,1679371348508,2023-03-21 12:02:28.508,5.3846000000,13.8462000000,34749.0629551285,0.0013000000,0.0014800000,0.0013000000,0.0013700000,34870.5405080000,25093714.3399999999
504,BAT-BTC,1679371347310,2023-03-21 12:02:27.310,-5.7484000000,6.3437000000,34455.5681614029,0.0000092200,0.0000092200,0.0000086700,0.0000086900,1.2340471974,137048.9833000000
505,APE-BTC,1679371347608,2023-03-21 12:02:27.608,-2.1405000000,4.7652000000,34059.3567676704,0.0001495000,0.0001517000,0.0001448000,0.0001463000,1.2198566446,8255.1169000000
506,ENJ-BTC,1679371347505,2023-03-21 12:02:27.505,-6.1608000000,10.6967000000,33945.0478241452,0.0000154200,0.0000157300,0.0000142100,0.0000144700,1.2157626000,82162.0000000000
507,HBAR-BTC,1679371347308,2023-03-21 12:02:27.308,-3.0702000000,4.5455000000,33284.2058609886,0.0000022800,0.0000023000,0.0000022000,0.0000022100,1.1920941419,529907.9883000000
508,PIT-USDT,1679371320109,2023-03-21 12:02:00.109,2.7881000000,5.8052000000,32689.3138652949,0.0000000005,0.0000000006,0.0000000005,0.0000000006,32689.3138652949,59344384472141.0000000000
509,LAMB-USDT,1679371347108,2023-03-21 12:02:27.108,-7.4892000000,10.2760000000,31573.1167869110,0.0018560000,0.0018780000,0.0017030000,0.0017170000,31573.1167869110,17761405.6527249999
510,ASTR-USDC,1679371347506,2023-03-21 12:02:27.506,-3.2353000000,8.1288000000,31495.5284293224,0.0680000000,0.0705000000,0.0652000000,0.0658000000,31605.6321096700,466644.0420000000
511,PPT-USDT,1679371346009,2023-03-21 12:02:26.009,-6.6863000000,17.5361000000,31298.4421219357,0.1017000000,0.1059000000,0.0901000000,0.0949000000,31298.4421219357,316037.7657060000
512,TOPC-USDT,1679371345472,2023-03-21 12:02:25.472,-5.3797000000,10.2967000000,31191.0675106756,0.0006320000,0.0006320000,0.0005730000,0.0005980000,31191.0675106756,52098946.0954610035
